ft,nimi,vuosi,kustantaja,kirjailija,alkukieli,tyyppi
http://data.kirjasampo.fi/physicalWork_9518904006,Ihmelapsi Eino tutustuu kuninkaalliseen perheeseen,2002,Artemisia,"Manner, Harri",fin,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9525321126,Ihmesatuja eri maista,2002,Pieni Karhu,"Lupton, Hugh",eng,satukokoelmat
http://seco.tkk.fi/saha3/ud31ff3ff-4d38-41d3-8c3a-69f2ae6d9cf3,Ihmisvihaaja,2002,Lasipalatsi,Molière,fra,näytelmät
http://data.kirjasampo.fi/physicalWork_4333098,Ihon alla,2002,Otava,"French, Nicci",eng,romaanit
http://seco.tkk.fi/saha3/ua637e6a0-221b-44fd-b4c9-c6982ef41f45,"Iida-Liisa, ennustuksia ja sydänsuruja",2002,Otava,"Olsson, Sören",swe,romaanit
http://data.kirjasampo.fi/physicalWork_9518822018,Illalla lammen rannalla,2002,Kustannus-Mäkelä,"Mitton, Tony",eng,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175962670243,Illuusioiden kirja,2002,Tammi,"Auster, Paul",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175962680985,Ilman suuria suruja,2002,WSOY,"Lundán, Reko",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175962841810,Iloiset hautajaiset,2002,Tammi,"Ulitskaja, Ljudmila",rus,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175962914785,Ilonkorjuun aika,2002,Tammi,"Leskinen, Juice",fin,runokokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175963218525,Inez,2002,Gummerus,"Fuentes, Carlos",spa,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175963340684,Inkerin romaani,2002,WSOY,"Pekkanen, Toivo",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175963458757,Irina tietää liikaa,2002,Otava,"Marinina, Alexandra",rus,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175963478914,Irtopirut ja Tuonelan lautturit Kukkosen merrassa,2002,Musiikki-mainos ky Juntunen,"Surkka, Timo",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175964448262,Ison auton tuntu ,2002,Gummerus,"Siirilä, Jussi",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175964634615,Istun vastapäätä,2002,WSOY,"Hännikäinen, Timo",fin,runokokoelmat
http://seco.tkk.fi/saha3/u677cb6a5-32e2-4a88-ab45-24e5c8e72bca,Isä Yrjö,2002,Lapin ortodoksinen seurakunta,"Kälkäjä, Mirjam",fin,tietokirjat
http://data.kirjasampo.fi/physicalWork_9510271624,"Isä, lähdetään saareen",2002,WSOY,"Majaluoma, Markus",fin,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175963626830,Isäni seurakuntaa,2002,Tammi,"Singer, Isaac Bashevis",eng,novellikokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175964824976,"Itke, Alegria",2002,Kääntöpiiri,"Canals, Cuca",spa,romaanit
http://www.seco.tkk.fi/applications/saha#Instance_ID1245666792286,Itku markkinoilla,2002,Jalava,"Hiltunen, Petri",fin,sarjakuva-albumit
http://www.yso.fi/onto/kaunokki#Instance_ID123175964666171,Itäveri,2002,WSOY,"Remes, Ilkka",fin,romaanit
http://data.kirjasampo.fi/physicalWork_952914587X,Iurima,2002,JuWaRa,"Karamäki, Riitta",fin,satukokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175965858247,Ja hiljaisuus vastaa,2002,Myllylahti,"Hildén, Kirsti",fin,romaanit
http://data.kirjasampo.fi/physicalWork_9512837498,Jaanilla on syntymäpäivä,2002,Kirjalito,"Lutz, Ute",deu,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175966400023,Jalokivi,2002,Kristosofinen kirjallisuusseura,"Lehtonen, Väinö Valdemar",fin,runokokoelmat
http://seco.tkk.fi/saha3/u83ee6c34-6e56-444b-acf1-508034fdd36c,Jalokivien jäljillä,2002,Otava,"Jacques, Brian",eng,romaanit
http://data.kirjasampo.fi/physicalWork_9513124452,Jannen unikirja,2002,Tammi,"Genechten, Guido van",nld,kuvakirjat
http://seco.tkk.fi/saha3/u1e78d04f-e1d7-412b-a671-e14fcdedf881,Jari ja kadonneet strutsit,2002,Uusi tie,"Davis, Elizabeth Jane",eng,romaanit
http://www.yso.fi/onto/kaunokki#Jasse_ja_kultakaivos,Jasse ja kultakaivos,2002,Omakustanne,"Junttila, Paavo A.",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175967144362,Jasso purkissa,2002,Tammi,"Roikonen, Jii",fin,sarjakuva-albumit
http://seco.tkk.fi/saha3/ua6e3bf8c-243e-4c62-a857-f0d9a15240a6,Jenni saa ystävän,2002,Kustannus-Mäkelä,"Anderson, Rachel",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175967804028,Jermula iskee!,2002,Egmont,"Walker, Mort",fin,sarjakuva-albumit
http://www.yso.fi/onto/kaunokki#Instance_ID123175967902072,Jerusalemin kirjakääröt,2002,Perussanoma,"Thoene, Brock",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175967922181,Jerusalemin sydän,2002,Perussanoma,"Thoene, Brock",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175968145748,Jesuksen vastaisku,2002,Omakustanne,"Tiainen, Ari",fin,romaanit
http://seco.tkk.fi/saha3/ua73b05bc-8ff2-48e2-ab59-9455da032e7e,Johan Ludvig,2002,Staden Jakobstad,"Stürmer, Wava",swe,tietokirjat
http://data.kirjasampo.fi/physicalWork_9512061945,John Bauerin satumaailma : Olipa kerran,2002,Gummerus,"Bauer, John",swe,satukokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175968870321,Jokaisessa puutarhassa,2002,Lasipalatsi,"Simonsuuri, Kirsti",fin,näytelmät
http://www.yso.fi/onto/kaunokki#Instance_ID123175969046090,Jokin yhteinen maailma,2002,Otava,"Malkamäki, Sari",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175969169843,"Jollei Siperia opeta, niin sitten Kukkonen",2002,Musiikki-mainos ky Juntunen,"Surkka, Timo",fin,romaanit
http://data.kirjasampo.fi/physicalWork_9518821941,"Jonna, vanha kilpikonna",2002,Kustannus-Mäkelä,"Coran, Pierre",deu,runokokoelmat
http://seco.tkk.fi/saha3/u5ded0d6b-4923-4e6a-8f0b-ee256bd7b92d,Joona ja yllätysten matkalaukku,2002,Tammi,"Marttinen, Tittamari",fin,kokoomateokset
http://seco.tkk.fi/saha3/u9800fe24-f20d-4c87-9308-b62af85c8850,Joonas ja seikkailu Metsienmaassa,2002,Otava,"Vahtokari, Reijo",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175969311818,Jopen pahimmat,2002,Gummerus,"Ruonansuu, Jope",fin,vitsit ja kaskut 
http://www.yso.fi/onto/kaunokki#Instance_ID123175969606951,Jos sydän vielä sykkii,2002,Kääntöpiiri,"Trosell, Aino",swe,romaanit
http://data.kirjasampo.fi/physicalWork_cls0149577,Jospa ukki nukkuukin,2002,Suomen hautaustoimistojen liitto,"Ranssi-Matikainen, Hanna",fin,tietokirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175969734615,Joulua pakoon,2002,WSOY,"Grisham, John",eng,romaanit
http://seco.tkk.fi/saha3/u4f3f9815-3619-4292-aae6-2b173781a163,Joulun valoa,2002,Omakustanne,"Tervahauta, Eija",fin,runokokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID12317596996543,Jouluvaimo,2002,Otava,"Hassinen, Pirjo",fin,romaanit
http://seco.tkk.fi/saha3/u3c9fa826-dac6-4b09-b9da-a3b859c66730,Juhannusyön ratsastus,2002,Kirjapaja,"Jalo, Merja",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175970434578,Juho ja hänen poikansa Einar,2002,Päivä,"Verkkonen, Erkki",fin,romaanit
http://seco.tkk.fi/saha3/u557ea2b0-883b-4e7c-9911-e1c321f0b5af,Juk-su ja has-su kes-put-ti-uk-ko,2002,Myllylahti,"Matikainen, Matti",fin,romaanit
http://data.kirjasampo.fi/physicalWork_9516193498,Julma jätti,2002,Uusi tie,"Marsh, T. F.",eng,kuvakirjat
http://seco.tkk.fi/saha3/udaa17526-f3fb-46c2-8d2b-b43e4511e103,Julma kuukausi,2002,Tammi,"Bagge, Tapani",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12317597075178,Jumalan piika,2002,WSOY,"Turunen, Heikki",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175971149066,Jumalten synty,2002,Tammi,Hesiodos,grc,runokokoelmat
http://seco.tkk.fi/saha3/u86726e03-4ba0-4654-a6ee-dc60620e50be,Juoksu sadun maahan,2002,Revontulet,"Harjumaa, Ritva-Liisa",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175971376766,Juoksuaika,2002,WSOY,"Virtanen, Harri",fin,näytelmät
http://www.yso.fi/onto/kaunokki#Instance_ID123175971413169,Juoksuhaudantie,2002,WSOY,"Hotakainen, Kari",fin,romaanit
http://seco.tkk.fi/saha3/uc41de571-1215-4c11-978b-236ed7a8d41e,"Juoppohullun päiväkirja, Toinen osa",2002,Diktaattori,"Vuorinen, Juha",fin,romaanit
http://www.yso.fi/onto/kaunokki#book_981,Jäljen jättävät sanat ,2002,Tammi,"Tiitinen, Esko-Pekka",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175966184995,Jäljet rantahiekassa,2002,WSOY,"Lennox, Judith",eng,romaanit
http://seco.tkk.fi/saha3/u258dc56a-dc0b-455d-bfb3-f36fc1012c65,Jänö Mustakorva ja postilaatikon yllätys,2002,Päivä,"Pulkkinen, Emma",fin,romaanit
http://www.yso.fi/onto/kaunokki#Jattilaisen_tarina,Jättiläisen tarina,2002,Omakustanne,"Paaso, Erkki",fin,näytelmät
http://www.yso.fi/onto/kaunokki#Instance_ID123176002318778,Jääluu,2002,Like,"Baxter, Stephen",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175971942179,Kaaoksen valtias,2002,Karisto,"Jordan, Robert",eng,romaanit
http://data.kirjasampo.fi/physicalWork_9519887601,Kaatopaikkatonttu Katski,2002,Omakustanne,"Kuusisto, Olli",fin,kuvakirjat
http://seco.tkk.fi/saha3/uae2f0d03-1915-46df-b1ee-bc432d1addc7,Kadonneen kaupungin aarre,2002,Päivä,"Peretti, Frank",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175972235452,Kadonneen kuun lohikäärmeet,2002,Jalava,"Weis, Margaret",eng,romaanit
http://seco.tkk.fi/saha3/uddea6a6a-f6fa-49c7-b86c-e75376e5f803,Kadonnut ruumis,2002,WSOY,"Kelly, Fiona",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12317597283943,Kadotettujen halloween,2002,Egmont,"Walthéry, Francois",fra,sarjakuva-albumit
http://www.yso.fi/onto/kaunokki#Instance_ID123272673951129,Kadotuksen lapsi,2002,Aikamedia,"Jenkins, Jerry B.",eng,romaanit
http://data.kirjasampo.fi/physicalWork_951283720X,Kahden kerroksen karhut - syntymäpäivät,2002,Kirjalito,"Lawson, Carol",eng,kuvakirjat
http://seco.tkk.fi/saha3/ub7371e4c-fa53-4527-be6d-f9e9ce6078c2,Kahden kodin välillä,2002,Otava,"Wilson, Jacqueline",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175973288184,Kahdesti kuollut,2002,Gummerus,"Reiss-Andersen, Berit",nor,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175973353125,Kahlekuningas,2002,Otava,"McDermid, Val",eng,romaanit
http://www.yso.fi/onto/kaunokki#Kaikesta_huolimatta__eteenpain_Mikael!,Kaikesta huolimatta - eteenpäin Mikael!,2002,Omakustanne,"Särkelä, Pentti",fin,tietokirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175973567536,Kaikilla kielillä sydämen laulu on sama,2002,Kirja-Aurora,"Kolumb, Valentin",chm,runokokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175973568243,Kaikkea hyvää sinulle,2002,Kirjapaja,"Kaskinen, Anna-Mari",fin,runokokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175973738833,Kaikki kotona?,2002,WSOY,"McMillan, Terry",eng,romaanit
http://seco.tkk.fi/saha3/ue69560e9-812a-4025-bc96-80cf699129fa,Kaikki minun lapseni,2002,WSOY,"Lindgren, Astrid",swe,kokoomateokset
http://seco.tkk.fi/saha3/uee9c9fe6-cb05-4aa2-972a-0f4b9ff29ec1,"Kaikki muuttuu, Pim",2002,Stabenfeldt,"Winqvist, Cajsa",swe,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12317597367860,Kaikkihan kuolevat,2002,Gummerus,"Block, Lawrence",eng,romaanit
http://seco.tkk.fi/saha3/u07faf4f4-721e-4508-bf5b-eab6ceddf727,Kaista auki!,2002,WSOY,"Teerialho, Taina",fin,romaanit
http://seco.tkk.fi/saha3/u09075c5a-b8e5-4e02-968a-4ddb3a3b3b07,Kaistapäinen opettaja,2002,Kustannus-Mäkelä,"West, Colin",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175974739739,Kaksi,2002,WSOY,"Repo, Niina",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175974528487,Kaksi kirjailijaa,2002,WSOY,"Holappa, Pentti",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175974678077,Kaksintaistelu,2002,Gummerus,"Higgins, Jack",eng,romaanit
http://www.yso.fi/onto/kaunokki#Kalle_Paatalon_kaverina,Kalle Päätalon kaverina,2002,Myllylahti,"Tikkanen, Ville",fin,tietokirjat
http://seco.tkk.fi/saha3/ucb4e7ad8-b401-45b2-a9c9-0d87ea6058f0,Kalle ja merirosvokoe,2002,Kustannus-Mäkelä,"Ryan, Margaret",eng,romaanit
http://seco.tkk.fi/saha3/u9a23d67d-e69f-44f8-a2f1-828c069ba35c,Kalle-Yrjänän kaksitoista yritystä,2002,WSOY,"Parkkinen, Jukka",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175975369668,Kalliisti maksettu perijätär,2002,Karisto,"Hauptmann, Gaby",deu,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175975469034,Kallis maa,2002,Karjalan kirjapaino,"Hirvonen, Kirsti",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175975515145,Kallista lystiä,2002,Otava,"Belle, Jennifer",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175975535152,Kallojen maa,2002,Book Studio,"Crumley, James",eng,romaanit
http://seco.tkk.fi/saha3/ue3738f40-ebaf-4036-9762-8aaeb74e5f0d,Kamppailu sydämestä,2002,Sanoma Magazines Finland,"Kaaberbøl, Lene",eng,romaanit
http://data.kirjasampo.fi/physicalWork_9512837935,Kanalan rauha häiriintyy,2002,Kirjalito,"Brenner, Katharina",deu,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9513213846,Kani kaipaa unta,2002,Lasten oma kirjakerho,"Marenco, Susan",eng,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9513214303,Kani kuulolla,2002,Sanoma Magazines Finland,"Braybrooks, Ann",eng,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175976196218,Kansallinen palindromikirja,2002,Jalava,"Hämäläinen, Arvo",fin,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175976239140,"Kansanparantaja, eli, Kosti Louhiluoman praktiikka",2002,MC-Pilot,"Taipale, Kalevi",fin,romaanit
http://www.yso.fi/onto/kaunokki#book_749,Kanssajuhlijat,2002,Ilias,"Okkonen, Tarja",fin,novellikokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175976404470,Kantolassa,2002,Otava,"Raittila, Hannu",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175976526129,Kapina,2002,Atena,"Roth, Joseph",deu,romaanit
http://seco.tkk.fi/saha3/uf23886c7-2527-4503-8576-5c494c12e384,Kapteeni Kalsari ja puhuvat pöntöt,2002,Tammi,"Pilkey, Dav",eng,romaanit
http://seco.tkk.fi/saha3/u13910e32-67b0-4299-80ef-cf777dd3f330,Kapteeni Kalsari seikkailee,2002,Tammi,"Pilkey, Dav",eng,romaanit
http://data.kirjasampo.fi/physicalWork_0739426,Kapteeni Kuolio,2002,Suomen yrityslehdet,"Manninen, Pekka A.",fin,sarjakuva-albumit
http://www.yso.fi/onto/kaunokki#Instance_ID123175976655215,Kapteeni Kuolio ja Tamperkele,2002,Suomen yrityslehdet,"Manninen, Pekka A.",fin,sarjakuva-albumit
http://seco.tkk.fi/saha3/u1c7aebac-667e-4f7d-9e25-b1a0f972514f,Kapteeni Maininki ja kultarahat,2002,Kustannus-Mäkelä,"Ryan, Margaret",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175976676234,Kapteenin erikoinen,2002,Gummerus,"Lansdale, Joe R.",eng,romaanit
http://seco.tkk.fi/saha3/u929f2327-2cc8-4ad7-b66e-df31bd304e1e,Karhu ja kultakuoriainen,2002,Tammi,"Toivola, Ritva",fin,romaanit
http://seco.tkk.fi/saha3/uefba0b20-f8a8-4e40-9627-e5e98fa45806,Karhukirjeitä Karhumäestä,2002,WSOY,"Parkkinen, Jukka",fin,romaanit
http://seco.tkk.fi/saha3/uda9714cc-5b97-4a29-947b-4f3e196089e8,Karhukirjeitä Karvoselle,2002,WSOY,"Parkkinen, Jukka",fin,romaanit
http://data.kirjasampo.fi/physicalWork_9516185665,Karhut lähtevät lomalle,2002,SLEY-kirjat,"Adams, Georgie",eng,kuvakirjat
http://seco.tkk.fi/saha3/u60cef9c8-0655-4bcf-be1e-e01be0811e85,Karitsa kiipelissä,2002,Tammi,"Daniels, Lucy",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175977246948,Karma,2002,Gummerus,"Backlén, Marianne",swe,romaanit
http://seco.tkk.fi/saha3/uc0930176-084e-47db-a830-bdbaf02bd799,Karmivat pianotunnit,2002,Sanoma Magazines Finland,"Stine, R. L.",eng,romaanit
http://seco.tkk.fi/saha3/uaa6a7883-cf77-4971-82c8-56a850077e9a,Karra Karhu maalla,2002,Kirjalito,"Niessen, Susan",fin,kuvakirjat
http://seco.tkk.fi/saha3/u2ad90965-d043-4fb6-9411-748e69d3c436,Karvat ja kaikki,2002,Tammi,"Hirvonen, Hannu",fin,romaanit
http://seco.tkk.fi/saha3/ufa1333d7-934f-4ec2-9248-1e6353d8c1f2,Karvisen herjakirja,2002,Egmont,"Davis, Jim",eng,sarjakuva-albumit
http://seco.tkk.fi/saha3/u6af9dcbd-c5eb-413c-b46e-a061d0dd254b,Kasperin seikkailut,2002,Omakustanne,"Tyni, Hilja",fin,sadut
http://data.kirjasampo.fi/physicalWork_9518822026,"Kasva, pikku siemen",2002,Kustannus-Mäkelä,"Brown, Janet Allison",eng,kuvakirjat
http://seco.tkk.fi/saha3/uec220371-6702-469b-b0f6-8bd9ee6a77b6,Kasvot menneisyydestä,2002,Otava,"William, Kate",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175978105881,Kate Reddy,2002,Otava,"Pearson, Allison",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12317597814437,Katie - kaidan tien kulkija,2002,Gummerus,"Cookson, Catherine",eng,romaanit
http://seco.tkk.fi/saha3/u211d1614-3e06-4a92-8de1-147b5ee219c1,"Katkennut häävalssi, Pako Viipurista, Huivi ja muita novelleja, lyhytproosaa",2002,Omakustanne,"Kinnunen, Karolus",fin,novellikokoelmat
http://data.kirjasampo.fi/physicalWork_9512837927,Katriina ja poni,2002,Kirjalito,"Brenner, Katharina",deu,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9512836998,"Katso kuvia, opi sanoja",2002,Kirjalito,"Crossley, David",eng,kuvakirjat
http://seco.tkk.fi/saha3/u850956cc-0f0a-42d7-a8e8-fa8264583251,Katsonko mitään samoin,2002,Runogalleria,"Vakkila, Pirkko",fin,runokokoelmat
http://seco.tkk.fi/saha3/u130c7743-29cd-480a-a1ea-0617d1d74628,Kauhujen kita,2002,WSOY,"Applegate, Katherine",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12317597881054,Kaukana kajastaa päivä,2002,Kirja-Aurora,"Raitis, Harri",fin,romaanit
http://data.kirjasampo.fi/physicalWork_9513125092,Kauneimmat sadut,2002,Tammi,"Andersen, Hans Christian",dan,satukokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175978953697,Kauneuden voimaton kaipuu,2002,Imprimatur,"Soininen, Ritva",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175979148029,Kaupparatsun kuolema,2002,Omakustanne,"Tiainen, Ari",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175979229191,Kaupunki ja lapsi,2002,Nihil interit,"Debeljak, Ales",slv,runokokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175979279135,Kavala kuolema,2002,Tammi,"Robinson, Leah Ruth",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175979505088,Kehtouni,2002,Omakustanne,"Turunen, Katariina",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12317597972044,Keittiöhurmio,2002,WSOY,"Prior, Lily",eng,romaanit
http://seco.tkk.fi/saha3/ua37c7cf2-ef00-40f7-8642-ffb17e011055,Kello löi jo viisi,2002,Omakustanne,"Hiilivirta, Erkki",fin,kuvakirjat
http://www.yso.fi/onto/kaunokki#Kellomiehia_kauppamiehia,Kellomiehiä... kauppamiehiä...,2002,Omakustanne,"Marjakangas, Reino",fin,novellikokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID12317597988937,Kellyn kopla,2002,Tammi,"Carey, Peter",eng,romaanit
http://seco.tkk.fi/saha3/u334c8e25-0462-4d4f-b7fe-7e3ef2f9a935,Keltainen sateenvarjo,2002,Tammi,"Laulajainen, Leena",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175980591116,Kertoi tulleensa petetyksi,2002,Otava,"Marttila, Hanna Marjut",fin,romaanit
http://www.seco.tkk.fi/applications/saha#Instance_ID1244026386747,Kertomuksia Maamereltä,2002,WSOY,"Le Guin, Ursula K.",eng,novellikokoelmat
http://seco.tkk.fi/saha3/ubf6490a0-5592-407f-9a38-e19f3085fdd3,Kesytön,2002,Sanoma Magazines Finland,"Metz, Melinda",eng,romaanit
http://seco.tkk.fi/saha3/u06ee9eb0-a5a1-4a16-998f-a287a91a3f36,Kesä ja parhaat johtajat,2002,Omakustanne,"Orenius, Tauno",fin,runokokoelmat
http://data.kirjasampo.fi/physicalWork_9510266361,Ketunpoika ja suuri varjo,2002,WSOY,"Lempinen, Katariina",fin,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175981463982,Kevään verso muuttaa muotoaan,2002,Suomen Rauhanyhdistysten Keskusyhdistys,"Jyrinki, Maila",fin,runokokoelmat
http://seco.tkk.fi/saha3/uac44ef84-dc5d-459b-92f4-0f4ad703cd82,Kiestingistä Ihantalaan,2002,Omakustanne,"Niemelä, Kaarlo",fin,tietokirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175981998741,Kihokki,2002,Karisto,"Sandberg, Timo",fin,romaanit
http://seco.tkk.fi/saha3/ue556be2c-cfc4-4591-84da-cb043ca119b5,Kiikissä,2002,Sanoma Magazines Finland,"Bryant, Ann",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175982066088,Kiinalainen ruletti,2002,Otava,"Bruun, Staffan",swe,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175982151941,Kiipeilijä,2002,Otava,"Etelälahti, Sami",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175982198487,Kiitospäivän illallinen,2002,Gummerus,"Huston, Nancy",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12317598231125,Kimeä metsä,2002,WSOY,"Meriluoto, Aila",fin,runokokoelmat
http://data.kirjasampo.fi/physicalWork_9518822050,Kirjavat kädet,2002,Kustannus-Mäkelä,"Brown, Janet Allison",eng,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175982674156,Kirje vaimoltani,2002,Lasipalatsi,"Lampela, Pasi",fin,näytelmät
http://seco.tkk.fi/saha3/uf9b2e69a-3730-445a-befb-75e0447481b5,Kirjeitä rakastetulle,2002,Omakustanne,"Laulajainen, Keijo Johannes",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175982713863,Kirjoittamaton,2002,WSOY,"Inkala, Jouni",fin,runokokoelmat
http://www.seco.tkk.fi/applications/saha#Instance_ID1242738910211,Kirjoituksia virkamiehen elämästä,2002,Kirja kerrallaan,"Arhinmäki, Juha",fin,novellikokoelmat
http://seco.tkk.fi/saha3/u028c5bb5-2719-4a3e-a356-2952fa51f112,Kirkon piru,2002,Schildts,"Niemi, Mikael",swe,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175982905262,Kirottu maa,2002,Porvoon julmapaino,"Hautala, Marko",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175982956417,Kirurgi,2002,Otava,"Gerritsen, Tess",eng,romaanit
http://seco.tkk.fi/saha3/u80c58b34-237d-4f3c-9cf1-882ef740dfd9,Kissa kiipelissä,2002,Kustannus-Mäkelä,"Cassidy, Anne",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175983129925,Kissankasvattaja,2002,MC-Pilot,"Laitinen, Matti",fin,romaanit
http://seco.tkk.fi/saha3/uf585a5cd-e727-4ee9-bd30-02ebe26908d9,Kissanpäivät,2002,MC-Pilot,"Hakkara, Kaisa",fin,romaanit
http://seco.tkk.fi/saha3/u70c72675-ef55-45d1-a875-e5d56f462f3c,"Kivi, joka tahtoi takaisin järveen",2002,Tammi,"Luukkonen, Marja",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175983506430,Kivijumalat,2002,Gummerus,"Paasilinna, Mauri",fin,romaanit
http://seco.tkk.fi/saha3/ua7ed9637-5ca9-405f-bda3-922c21db6642,Kivikauppaa ja ketunleipiä,2002,Tammi,"Tapola, Katri",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175983732238,Kivisyli,2002,Suomen yrityslehdet,"Sihvonen, Kari A.",fin,sarjakuva-albumit
http://www.yso.fi/onto/kaunokki#Instance_ID123175983739356,Kivun hallinta,2002,Like,"Vachss, Andrew ",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175983772314,Klingsoria etsimässä,2002,WSOY,"Volpi, Jorge",spa,romaanit
http://seco.tkk.fi/saha3/u9b56a3a5-1aed-4d16-a05e-69b3167cdab6,Kloonien hyökkäys,2002,WSOY,"Salvatore, R. A.",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175984030346,Kohtalo kuljettaa,2002,Gummerus,"Roberts, Nora",eng,romaanit
http://seco.tkk.fi/saha3/uf1350bbc-002c-4051-839b-dd4ef91d2a40,Kohtalokas kepponen,2002,Kustannus-Mäkelä,"Wooderson, Philip",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175983993337,Kohtalokkaat lääkkeet,2002,Otava,"Leon, Donna",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175984090449,Kohtalona Berliini,2002,Mediapinta,"Elovaara, Klaus",fin,romaanit
