ft,nimi,vuosi,kustantaja,kirjailija,alkukieli,tyyppi
http://seco.tkk.fi/saha3/u072d6cf3-8bcd-4177-b882-ee91b6e5df3c,Arjen vartijat,2000,Omakustanne,"Heikkinen, Jyrki",fin,sarjakuva-albumit
http://www.yso.fi/onto/kaunokki#Arki_ja_unelmat,Arki ja unelmat,2000,Suomen Rauhanyhdistysten Keskusyhdistys,"Tölli, Rauha",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175921289189,Arkkienkeli,2000,Otava,"Harris, Robert",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123272663770234,Armas aika,2000,Forssan kirjapaino,"Niinimäki, Pentti",fin,romaanit
http://seco.tkk.fi/saha3/u645d5c41-9fa3-4417-81f0-651ff23855b2,Armi on vauva,2000,Tammi,"Uusitalo, Riitta",fin,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175921811065,Arpinen sydän,2000,Suomen lähetysseura,"Pöntinen, Hannu",fin,runokokoelmat
http://www.yso.fi/onto/kaunokki#book_223,Arttu K. ja Julia,2000,Tammi,"Tiainen, Marja-Leena",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175922248255,Arvoitusten saari,2000,Jalava,"Salvatore, R. A.",eng,romaanit
http://seco.tkk.fi/saha3/u6c349077-1a85-4e87-bb96-571ec09fb79e,Ashleighin unelma,2000,Stabenfeldt,"Campbell, Joanna",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175922647386,Asun koiran kanssa radan varressa,2000,Sammakko,"Hirvilammi, Teemu",fin,runokokoelmat
http://seco.tkk.fi/saha3/ue38bba94-2718-4133-8187-7bd439512cf9,Atlantiksen perintö,2000,Tammi,"Koskelainen, Jukka",fin,esseekokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175922846141,Atlantis,2000,WSOY,"Cussler, Clive",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175923317636,Aukko taivaassa,2000,Otava,"Tuuri, Antti",fin,romaanit
http://data.kirjasampo.fi/physicalWork_9513119009,Aurinkolintu ja kaamoksen korppi,2000,Tammi,"Laulajainen, Leena",fin,satukokoelmat
http://data.kirjasampo.fi/physicalWork_9518739706,Aurora ja peto,2000,Kustannus-Mäkelä,"Simmons, Jane",eng,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9518820325,Aurora piipittää,2000,Kustannus-Mäkelä,"Simmons, Jane",eng,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9518820341,Auroran kyläretki,2000,Kustannus-Mäkelä,"Simmons, Jane",eng,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9518820317,Auroran mielipuuhat,2000,Kustannus-Mäkelä,"Simmons, Jane",eng,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175924382758,Autiomaaretki,2000,WSOY,"Inkala, Jouni",fin,runokokoelmat
http://data.kirjasampo.fi/physicalWork_9513211053,Autot,2000,Helsinki Media,"Scarry, Richard",eng,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175924540016,Autuaitten alttareilla,2000,Gummerus,"Wells, Rebecca",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175924682217,Avaruuden terveisiä,2000,Sharda,"Hoshi, Shin'itchi",jpn,novellikokoelmat
http://seco.tkk.fi/saha3/ua50010d6-e3b4-453f-ba6e-ee93bb9f27f7,Bert ja kovanaamat,2000,Otava,"Olsson, Sören",swe,romaanit
